join_key,experiment,experiment_date,model.loss,model.model_architecture,model.pos_weight,model.alpha,model.lr,dataloader.batch_size,training.max_epochs,metrics.FPR_no_plume,metrics.frac_total_easy,metrics.precision_easy,metrics.recall_easy,metrics.f1score_easy,metrics.iou_easy,metrics.accuracy_easy,metrics.cohen_kappa_easy,metrics.balanced_accuracy_easy,metrics.precision_hard,metrics.recall_hard,metrics.f1score_hard,metrics.iou_hard,metrics.accuracy_hard,metrics.cohen_kappa_hard,metrics.balanced_accuracy_hard,metrics.frac_total_hard,metrics.precision,metrics.recall,metrics.f1score,metrics.iou,metrics.accuracy,metrics.cohen_kappa,metrics.balanced_accuracy
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.005780007498604911,0.09064327485380116,0.7794566659521092,0.8827176694442622,0.8278796717649556,0.7063094563094563,0.9931161942020539,0.8243813666605444,0.9389719685183155,0.2667314873771705,0.8106009099942472,0.40138547196685226,0.25108333805817223,0.9974065107457778,0.4004176444327189,0.9041040073287189,0.39766081871345027,0.2988097071647644,0.8682520985603333,0.44460737705230713,0.2858489751815796,0.9953871369361877,0.4428444504737854,0.931955099105835
2025-10-12-14-30-14-1530469,2025-10-12_14-30-14_1530469,2025-10-12_14-30-14_1530469,BCEWithLogitsLoss,segformer,1,0.5,0.0001,8,150,0.005468270438058036,0.09064327485380116,0.7640465759473812,0.8627845941867331,0.8104192089141983,0.681264538724167,0.9924294256394909,0.8065713192573436,0.9288459762382533,0.2193467354512748,0.8082997751163642,0.3450562330812379,0.2085002765524033,0.9967086174908806,0.34394920679450136,0.9026053540516104,0.39766081871345027,0.2880151569843292,0.8518557548522949,0.43048274517059326,0.2742771506309509,0.995206892490387,0.4286668300628662,0.9236841201782227
2025-10-12-14-30-17-1530470,2025-10-12_14-30-17_1530470,2025-10-12_14-30-17_1530470,BCEWithLogitsLoss,segformer,1,0.5,0.0001,16,150,0.005355311802455357,0.09064327485380116,0.7873899024623779,0.8956695754871727,0.8380466512574475,0.7212394991282295,0.9935075083086568,0.8347479959510722,0.9455235417951642,0.2388286973922333,0.7833533810993148,0.3660546815335268,0.22403117007433554,0.9970895823310403,0.3650107124895765,0.8903362378620102,0.39766081871345027,0.3057350218296051,0.8731405735015869,0.4528886079788208,0.29273173213005066,0.9955138564109802,0.45115965604782104,0.9344576597213745
2025-10-12-14-30-25-1530471,2025-10-12_14-30-25_1530471,2025-10-12_14-30-25_1530471,BCEWithLogitsLoss,segformer,5,0.5,0.0001,4,150,0.005848846435546875,0.09064327485380116,0.6867298841574004,0.8918837346630798,0.7759760925471885,0.6339550133150513,0.99034180179719,0.7711257640949171,0.9420536945150528,0.2086324909056098,0.9118246953611213,0.3395689898625948,0.20450653341778685,0.9961954565609202,0.33841395742579294,0.9540553750886596,0.39766081871345027,0.269661545753479,0.8958836197853088,0.4145447909832001,0.2614673972129822,0.994618833065033,0.41262465715408325,0.9453564286231995
2025-10-12-14-30-26-1530472,2025-10-12_14-30-26_1530472,2025-10-12_14-30-26_1530472,BCEWithLogitsLoss,segformer,5,0.5,0.0001,8,150,0.008535112653459822,0.09064327485380116,0.6134838695829488,0.9376550095138114,0.7416953198998326,0.5894401663043882,0.9877512531895791,0.7357025555355636,0.9631818820911952,0.18883773088493763,0.9159039799173684,0.3131179489013249,0.185619349436666,0.9956896164838005,0.31189407618355924,0.9558396355494856,0.39766081871345027,0.21967783570289612,0.9332920908927917,0.3556442856788635,0.21628186106681824,0.9928082823753357,0.3534182906150818,0.9631136059761047
2025-10-12-14-33-17-1530473,2025-10-12_14-33-17_1530473,2025-10-12_14-33-17_1530473,BCEWithLogitsLoss,segformer,5,0.5,0.0001,16,150,0.005379856654575893,0.09064327485380116,0.7081956681350955,0.9113378387244931,0.7970264361418268,0.6625469254582834,0.9912946147303427,0.7926498481379214,0.9520803432126494,0.18864958594648906,0.9132106061398463,0.3127017455890188,0.18532689450222883,0.9956939641167136,0.3114775400848392,0.9544965708987048,0.39766081871345027,0.2767609655857086,0.9117134809494019,0.42462286353111267,0.2695372700691223,0.9947457313537598,0.4227394461631775,0.9533181190490723
2025-10-12-14-49-04-1530474,2025-10-12_14-49-04_1530474,2025-10-12_14-49-04_1530474,BCEWithLogitsLoss,segformer,15,0.5,0.0001,4,150,0.00829897199358259,0.09064327485380116,0.5766196110135103,0.9733941342431599,0.7242234448149107,0.567672639751434,0.9860967820690524,0.7175706387720873,0.9798668525280996,0.15801445532090377,0.9518592123842895,0.2710353788248258,0.15676166851847068,0.994507817661061,0.2696916947440797,0.9732064132943818,0.39766081871345027,0.21276281774044037,0.969074547290802,0.34891948103904724,0.2113279551267624,0.9923092126846313,0.346640944480896,0.9807166457176208
2025-10-12-14-51-50-1530475,2025-10-12_14-51-50_1530475,2025-10-12_14-51-50_1530475,BCEWithLogitsLoss,segformer,15,0.5,0.0001,8,150,0.007559029715401786,0.09064327485380116,0.514251321652576,0.958637884653238,0.6694064931137806,0.5030886515298638,0.9822417228452621,0.661133649848801,0.9706653766497375,0.1571881433752272,0.9543172428220281,0.2699174605052956,0.15601420992557316,0.9944623498355641,0.2685702185432082,0.9744113504584593,0.39766081871345027,0.21157392859458923,0.9577712416648865,0.3465861678123474,0.20961852371692657,0.9923202991485596,0.3443019390106201,0.9750826358795166
2025-10-12-15-06-29-1530476,2025-10-12_15-06-29_1530476,2025-10-12_15-06-29_1530476,BCEWithLogitsLoss,segformer,15,0.5,0.0001,16,150,0.009040614536830357,0.09064327485380116,0.5340107294361469,0.9737943704481333,0.6897663923855025,0.5264453517120045,0.9835715755339591,0.6820644005581986,0.9787764100198857,0.1473908762717427,0.9394906124156687,0.2548067034985567,0.14600486032656843,0.9941055634442497,0.2534222542002652,0.966827410998786,0.39766081871345027,0.19685891270637512,0.9669135212898254,0.3271181285381317,0.19554169476032257,0.9915408492088318,0.3247319459915161,0.9792534112930298
2025-10-12-16-17-57-1530477,2025-10-12_16-17-57_1530477,2025-10-12_16-17-57_1530477,JaccardLoss,segformer,1,0.5,0.0001,4,150,0.0035813685825892855,0.09064327485380116,0.8599706590483143,0.8038448920674497,0.8309611256371388,0.7108070944946304,0.9938663359611265,0.8278412445992676,0.9006715766516012,0.2219731300741405,0.36248104178651747,0.27533741843858933,0.1596471225051538,0.9979533307692584,0.2743719442607161,0.6805583748593369,0.39766081871345027,0.36937445402145386,0.7153137922286987,0.4871789515018463,0.3220334053039551,0.9967976212501526,0.48573654890060425,0.856355607509613
