join_key,experiment,experiment_date,model.loss,model.model_architecture,model.pos_weight,model.alpha,model.lr,dataloader.batch_size,training.max_epochs,threshold,TN,FP,FN,TP,precision,recall,TPR,FPR,f1score,accuracy,prevalence,fp_per_mneg,metrics_path,config_path
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.98,89383622,78974,106570,84082,0.5156633257865906,0.44102343916893005,0.44102343916893005,0.0008827600395306945,0.4754317122851889,0.9979304263466283,0.0021265487224735014,882.7599860840166,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.97,89363192,99404,95630,95022,0.48873093724250793,0.49840548634529114,0.49840548634529114,0.001111123594455421,0.49352080350356314,0.9978245740745499,0.0021265487224735014,1111.1235806302782,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.9600000000000001,89347402,115194,87891,102761,0.47147804498672485,0.5389977693557739,0.5389977693557739,0.0012876220280304551,0.5029820821855525,0.9977347725316098,0.0021265487224735014,1287.6219241391116,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.9500000000000001,89334098,128498,81983,108669,0.45819613337516785,0.5699861645698547,0.5699861645698547,0.0014363321242854,0.5080139138851701,0.9976522769147192,0.0021265487224735014,1436.332118061944,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.9400000000000001,89322197,140399,77080,113572,0.4471849203109741,0.5957031846046448,0.5957031846046448,0.0015693597961217165,0.5108687689135651,0.9975742206238863,0.0021265487224735014,1569.3597802594506,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.93,89311604,150992,73115,117537,0.43770691752433777,0.616500198841095,0.616500198841095,0.0016877668676897883,0.5119419087555027,0.9975002913447152,0.0021265487224735014,1687.7668070351995,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.92,89301865,160731,69737,120915,0.4293155372142792,0.6342183947563171,0.6342183947563171,0.0017966279992833734,0.5120284415401498,0.9974293402063916,0.0021265487224735014,1796.627944934663,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.91,89292871,169725,66733,123919,0.42200419306755066,0.6499748229980469,0.6499748229980469,0.001897161710076034,0.5117490110958107,0.9973625272338154,0.0021265487224735014,1897.1615802429878,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.9,89284293,178303,63994,126658,0.41532522439956665,0.6643413305282593,0.6643413305282593,0.001993045210838318,0.5111165311553078,0.9972973985281605,0.0021265487224735014,1993.0452275272676,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.89,89276179,186417,61486,129166,0.4092932641506195,0.6774961948394775,0.6774961948394775,0.0020837425254285336,0.510300549460888,0.9972348687244438,0.0021265487224735014,2083.7423497078044,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
